author,content
niltheoverkill,these people justify bringing back the R-word
niltheoverkill,also can you check rules
peachyqiss,REAL
peachyqiss,ours?
niltheoverkill,this is just mental
niltheoverkill,yea
niltheoverkill,yea
peachyqiss,it eats
peachyqiss,did you change the alt rule
niltheoverkill,yes
niltheoverkill,check
peachyqiss,word
peachyqiss,yeah it looks good
niltheoverkill,3.3
peachyqiss,they said you could rejoin and they'll verify you!
niltheoverkill,Merry christmas :heartt:
peachyqiss,merry christmas nil <3
niltheoverkill,hey
niltheoverkill,everything alright?
niltheoverkill,havent seen you in a while
niltheoverkill,i havent seen anyone from the server in a while but thats besides the point lol
peachyqiss,"yeah, i’m sorry i haven’t been active, idk life has gotten really rough and i just got back to school so im trying to figure out my new routine"
peachyqiss,"i’m sorry about last week’s reset btw, i totally passed tf out"
niltheoverkill,hey i didnt write to ask about an apology im just wondering where my friend was
peachyqiss,all of the staff after new years ^
niltheoverkill,all good no worries
niltheoverkill,this is very true
peachyqiss,nono i know ive just been meaning to say it
niltheoverkill,nobody even saw the event yesterday AHAHAHA look at this message hold up
peachyqiss,i saw it from a notif on my phone and was a little surprised but i think that’s just bc it was just scheduled and we didn’t really talk about it
peachyqiss,i doubt if we brought it up anyone would respond 😭
peachyqiss,jokes
peachyqiss,i think everyone is getting back into their schedule
niltheoverkill,i've been trying to ask everyones opinions before doing things but i just started doing tbh bc noone is responding
niltheoverkill,but i understand everyones busy
peachyqiss,"yeah i’m totally fine w that, i noticed we missed deadlines for opinions on things and ended up not doing an event bc people wouldn’t respond"
niltheoverkill,"including me, im just busy with the server and active bc i have exams"
niltheoverkill,yeah fair
niltheoverkill,show your face around sometime cutie pie
peachyqiss,"lolol don’t worry i’m going to be active in the next few days, i have some homework finally"
niltheoverkill,GOOD good
peachyqiss,i just have basketball games and other club events so i’m not on when a lot of people are 😭
niltheoverkill,not the homework though 🤮
niltheoverkill,yeah i can assume the amount of time they consume
peachyqiss,it’s all intro homework for a class i took in high school so it’s all super basic
peachyqiss,it’s lowkey fun bc i feel smart
niltheoverkill,KJAHDKJHASDHASH
niltheoverkill,real
niltheoverkill,me in my python class
peachyqiss,REAL
niltheoverkill,the inability to hold a grin inside bc you are internally smiling and giggling n shit is unreal
niltheoverkill,reyna applied to be a bot dev at the discord developers server
niltheoverkill,you didnt hear this from me
niltheoverkill,and we didnt have this conversation
peachyqiss,WHAT
peachyqiss,LMAO
peachyqiss,i hope she nukes them too
peachyqiss,what if we told them
peachyqiss,🥴
peachyqiss,wait how did you find out
niltheoverkill,I am not at discretion to tell
niltheoverkill,But lets say some lovely gentleman reached out to me
peachyqiss,OMG someone reached out to me too
niltheoverkill,Show show
niltheoverkill,is it someone named Key
peachyqiss,yeah
peachyqiss,he deleted the message tho
peachyqiss,it was a message req
niltheoverkill,I texted him thats why
peachyqiss,ohh got it
niltheoverkill,with PROOF
peachyqiss,SHITTT
niltheoverkill,if you have anything to add please go ahead
peachyqiss,who is this guy 😭😭
niltheoverkill,bot dev at study together
niltheoverkill,sorry* study together here
peachyqiss,got it
peachyqiss,he’s refusing to talk to me bc he’s already talking to you 😭
peachyqiss,i’m just gonna play dumb
niltheoverkill,Yeah i told him everything
niltheoverkill,we are texting rn
peachyqiss,can you send screenshots of yalls convo so i can read
niltheoverkill,aww my heart
peachyqiss,awwww
niltheoverkill,I cant but i can screenshare
peachyqiss,i’m in class give me 20
niltheoverkill,Join planetarium when ur free no worries
peachyqiss,HAHAHAHA
niltheoverkill,FUCK YOU FOR THE CLIFFHANGER HASJDHASJKDHA
niltheoverkill,but love you <3 drive safe
peachyqiss,WHOOPS!
peachyqiss,love you too bae <3
peachyqiss,MWAH
niltheoverkill,hey
peachyqiss,UGH
peachyqiss,i hate nitro
niltheoverkill,same
niltheoverkill,hows ur probability skills
peachyqiss,mid
peachyqiss,why
niltheoverkill,i have a probability exam tomorrow and a question is eating me alive
niltheoverkill,there are no answers and the question isnt anywhere online
peachyqiss,oh shit
peachyqiss,you can show it to me i'll try to figure it out
niltheoverkill,how good are you with poission distribution
niltheoverkill,im already confused i wouldnt wanna get even more confused
peachyqiss,im not gonna lie what the fuck is poission
peachyqiss,LMFAO
peachyqiss,i know very basic probability
niltheoverkill,alr it's been real we are so failing
niltheoverkill,alr then
peachyqiss,we dont have a specific class for it in engineering
niltheoverkill,yeaaah fair
niltheoverkill,we have this small probability course
niltheoverkill,so detailed for no fucking reason
niltheoverkill,thanks anyway btw
niltheoverkill,should we cancel the western reset and just combine the two in one singular event
niltheoverkill,it's been dead for like 2 months
niltheoverkill,for eternity actually but we dont talk about that
peachyqiss,REAL i wasnt gonna bring it up buttt.....
peachyqiss,the only issue is the time i think
peachyqiss,if we could do more like
peachyqiss,12-3pm CST i think that could work for a lot of westerners
peachyqiss,it'll be 10am for the west coast and 1pm for the easat
peachyqiss,east*
peachyqiss,i just dont want to make it too late for the east
niltheoverkill,would that be moving it forward or backward
niltheoverkill,4 hours backward?
niltheoverkill,im gonna just
niltheoverkill,end the event and move to cam2
niltheoverkill,theres like 2 people online total lol
peachyqiss,LMFAO okay
peachyqiss,</3
peachyqiss,yeah thats what i had to do with the last few and then i gradually started forgetting to even start it
niltheoverkill,honestly fair
niltheoverkill,i know that it has been always the lesser of the two events
niltheoverkill,?
niltheoverkill,i just realized you shared the link for the eastern one HAHAHADHASD
niltheoverkill,IF we were to merge the two events
peachyqiss,FUCK
peachyqiss,backward yeah
peachyqiss,sorry i took a shower
niltheoverkill,without me 🥺  👉 👈 ??
niltheoverkill,disgusting im actually gonna kms
peachyqiss,HAHAHAHAHA
niltheoverkill,we could try it out but i dont think the timing is the issue
peachyqiss,next time wife
peachyqiss,nono like i mean the only issue would be timing IF we changed it
peachyqiss,right now i just think the server isn’t very active in the west
niltheoverkill,yeah
peachyqiss,i’m definitely in favor of changing
niltheoverkill,yeah thats what i was trying to say
niltheoverkill,im sorry its like 1 am and im gonna pull an all nighter
niltheoverkill,english moments will happen occasionally
peachyqiss,LMAO
peachyqiss,real
peachyqiss,nil.
peachyqiss,nil.
niltheoverkill,whats wrong
peachyqiss,i’m so disappointed
niltheoverkill,WHATTT
peachyqiss,FAT JUICY AND WET
niltheoverkill,YEAH AND??
peachyqiss,THAT SONG IS ASSSSSS
niltheoverkill,it is but IT'S STUCK IN MY HEAD
peachyqiss,you could’ve picked ANY OTHER BRUNO SONG
niltheoverkill,i hate sexyy red bro i know
niltheoverkill,I KNOW
peachyqiss,HAHAHAHA
niltheoverkill,ok let me PLEASE YOU random person on the internet
peachyqiss,RANDOM PERSON
peachyqiss,💔
peachyqiss,i thought we were more than that
peachyqiss,cancelling my rome trip
niltheoverkill,ASKJDHASKJDHJKSA
niltheoverkill,we're just floating on a dot in the universe bro
peachyqiss,good morning from america btw
niltheoverkill,good morning north dakota
peachyqiss,don’t get me started
peachyqiss,NORTH DAKOTA
niltheoverkill,i ran out of M state LMFAOOOOOOOO
peachyqiss,out of all the states i’m surprised you know that one
peachyqiss,even i forget about it
niltheoverkill,i know all of em bro
peachyqiss,i think people who live there forget about it
niltheoverkill,ASJDHKJASHDKASÖHSAD
niltheoverkill,so real
peachyqiss,dude my friend/future roommate had to educate me on other countries i felt so american
peachyqiss,i didn’t know other countries had states 😭
niltheoverkill,they dont
peachyqiss,bc they’re so much smaller i just assumed they had little regions yk
peachyqiss,YES THEY DO
peachyqiss,they’re just named different
niltheoverkill,there are regions
peachyqiss,that’s what italy calls them
peachyqiss,but like germany has states i think
peachyqiss,and there’s provinces and stuff
niltheoverkill,but i have never seen any region operate so much differently than eachotehr you guys have states and they are almost their own countries
niltheoverkill,different laws n shit
niltheoverkill,well yeah but they are just labels
peachyqiss,but like
peachyqiss,i didn’t know they had that
peachyqiss,i thought it was just NA 😭
niltheoverkill,if you need a geo lesson hmu
peachyqiss,bc we’re big
peachyqiss,lowkey
niltheoverkill,we should move the western sunday reset
niltheoverkill,we said 3-4 hours before?
peachyqiss,yeah
niltheoverkill,definitely moving after this one
peachyqiss,i’ll draft the announcement one i’m home
niltheoverkill,no worries i got it
niltheoverkill,what do you wanna write
peachyqiss,i’ve been busy with my new kid
niltheoverkill,OMG WHAT?? DORM CAT???
peachyqiss,YESSS
peachyqiss,MY SON
peachyqiss,perfect!!
niltheoverkill,you need to do
niltheoverkill,-Girls Only Staff
niltheoverkill,for it to now show up as a bullet point
niltheoverkill,no space between - and G
peachyqiss,yeah i realized 😔 i just hate the (edited) more than anything
niltheoverkill,NO WAY ME TOO
niltheoverkill,DUDE KAJSHDJKSAHADS
niltheoverkill,i hate editing announcements so much
niltheoverkill,like a normal message?
niltheoverkill,thats fine
niltheoverkill,BUT AN ANNOUNCEMENT
niltheoverkill,:ElmoFire:
peachyqiss,RIGHT
niltheoverkill,RUTH BARNETT ARE YOU ACTUALLY COMING
peachyqiss,TO ITALY?
peachyqiss,YES
niltheoverkill,WHICH CITY MF
niltheoverkill,BRO WENT TO GOOGLE MAPS
niltheoverkill,🤓
peachyqiss,ROME
peachyqiss,AND FLORENCE
niltheoverkill,DAMNNNN
niltheoverkill,DUDE I HOPE IT'S FLORENCE FOR YOUR SAKE
peachyqiss,WHY
niltheoverkill,ITS THE SMACK DAB MIDDLE OF ITALY HAHAJDSHAD
niltheoverkill,YOU CAN GO ANYWHERE
peachyqiss,OHHHH
niltheoverkill,but in terms of academics ofc i hope the best uni
peachyqiss,"the program location thing says florence but its called ""engineering mechanics in rome"""
niltheoverkill,daFuq
peachyqiss,its actually gonna be taught by my university staff
peachyqiss,so its not likea  foreign exchange thing
niltheoverkill,solid so location doesnt matter
peachyqiss,right
niltheoverkill,in terms of uni
niltheoverkill,gotcha
peachyqiss,so we get to travel all across italy while we learn
niltheoverkill,fantastic
niltheoverkill,when do you move and how is accomodation done
peachyqiss,and i get free days so we can hang out and travel
niltheoverkill,ah AH lovely
peachyqiss,i leave on 31 june
peachyqiss,and come back on 1 aug
niltheoverkill,omg amazing im here in july even though im gonna be sweating my ass off to graduate LOL
niltheoverkill,we'll defo see eachother
niltheoverkill,when everything is like
niltheoverkill,determined determined
niltheoverkill,lmk
peachyqiss,i definitely will
niltheoverkill,im so excited bro
niltheoverkill,you got me giggling n shit
niltheoverkill,Im doing a windows reset
niltheoverkill,And im so scared
niltheoverkill,For WHAT? I backed up the important shit idek what im scared about
niltheoverkill,I will be losing all my discord settings though 😬
peachyqiss,like keybinds and stuff?
niltheoverkill,Yeah i dont really care about those ig
niltheoverkill,OH SHOOT my MINECRAFT WORLDS
peachyqiss,OH NO
peachyqiss,wait why are you doing a reset anyways
niltheoverkill,Im still in the backup phase we’re goood
niltheoverkill,There is a very specific issue with my WebCam and I have had two phone calls with customer support and I have spent hours on Reddit and different forms but nothing seems to be the solution but we know for a fact that is driver related and I have gotten multiple suggestions about doing the windows reset and I figured since my second semester starts on Wednesday this is the perfect time to do it
niltheoverkill,"Bit of a long explanation, but this is the Lore behind it"
peachyqiss,damn
peachyqiss,usually to reinstall a driver you don’t have to do a reset
niltheoverkill,"Yeah, we did everything you could imagine probably"
niltheoverkill,Did that multiple times
niltheoverkill,Bios resets
niltheoverkill,Something called a static discharge that I didn’t even know existed
peachyqiss,jeez
peachyqiss,good luck queen 😔
niltheoverkill,I have so many video call meetings that I just cannot live like this so I’m done
niltheoverkill,Thanks babes
peachyqiss,right no i get it
niltheoverkill,"Also for your information, I have officially started the process to apply for a masters in the US"
niltheoverkill,"I have a professional coach that is going to help me through it and if I get in, I’m starting in the 2026 2027 academic year"
peachyqiss,YAYYYYY
peachyqiss,what uni?
niltheoverkill,Super excited honestly
niltheoverkill,Thats the thing idk yet
niltheoverkill,The usual probably I’m going to apply to about 20 places maybe a little less maybe a little more
niltheoverkill,As one does
peachyqiss,oh damn that’s gonna be expensive
niltheoverkill,I am very aware yes
niltheoverkill,And the coaching wasn’t cheap either
niltheoverkill,"But if I can secure a scholarship, which is much easier to get in the masters degree, I will be more than happy to spend all of this money in this process applying and getting coaching"
niltheoverkill,"Also, this is basically me putting my foot into the US and if I get a job offer, I’m staying there you know?"
peachyqiss,yeah i get you
niltheoverkill,Idc bout no trumppp immigration babyyyyyy
niltheoverkill,No this is more ✨brain drain✨
peachyqiss,trump can’t stop a turk on a grind
niltheoverkill,😎
niltheoverkill,Hows the major change treating you
niltheoverkill,It’s not a MAJOR change i hope
peachyqiss,LMFAO
peachyqiss,i haven’t committed yet
peachyqiss,but it’s getting more and more appealing idk
niltheoverkill,I’m sure you will rely on your sixth sense to make a good decision
niltheoverkill,"Once you think about it, it can virtually never leave your mind so you’re gonna be constantly thinking about it even if you don’t commit in the end"
peachyqiss,true
peachyqiss,"i think i’m going to do it, i just have to commit by april"
niltheoverkill,"Oh, you have tons of time"
niltheoverkill,I think you will have made your mind like 100% by then definitely
peachyqiss,yeah for sure
peachyqiss,especially if i get more advising on it
niltheoverkill,You guys have people that you can talk to about this at your university right?
niltheoverkill,I don’t even know what they’re called that shows how they dont exist here LOL
peachyqiss,LOL yes we do
peachyqiss,"we have a career center which is the unbiased place to go, and then there are advisors for each major"
niltheoverkill,Oh that sounds lovely
peachyqiss,it really is
peachyqiss,i’m surprised yall don’t have that
niltheoverkill,"Think of Europe as like a place with human rights, but like 50% of the time"
niltheoverkill,And Italy make that 25%
niltheoverkill,I had an issue with a professor and I tried to email like an ethics committee or something and it’s been a week and I still haven’t gotten a response
peachyqiss,oh shit
niltheoverkill,Yeah anyways SUPER STOKED FOR YOU TO COME
niltheoverkill,HAHAAHHAHAHAH
niltheoverkill,Food is good and the history is good Those two are the only things about this place that I like honestly
peachyqiss,LMFAOO sounds about right
niltheoverkill,"By the way when you come, it’s gonna be extremely hot so come prepared"
peachyqiss,like how hot
niltheoverkill,"I don’t know how hot it is where you live, but I’m assuming not this much"
peachyqiss,a typical summer for me is 95-100 degrees
peachyqiss,F
niltheoverkill,I genuinely don’t know how to describe it other than saying that I almost passed out once
peachyqiss,let me make that into celsius hold on
niltheoverkill,"It’s not too hot in general, but like the humidity is super high"
niltheoverkill,And the fact that there is no AC in most places makes it worse
peachyqiss,35-38 degrees C
niltheoverkill,"Yeah, a bit more"
peachyqiss,yeah that’s probably gonna be the worst part
niltheoverkill,Even if it’s like 30° out the fact that there’s no air conditioning and the fact that the humidity is high I think it makes it unbearable
peachyqiss,yeah
niltheoverkill,"If you said 40°C with air-conditioning or 30°C with no air conditioning, you know which one I’m gonna pick"
peachyqiss,i can handle humidity (i live by an ocean) it just sucks a ton 😭
peachyqiss,damn right
niltheoverkill,That’s good then you probably have appropriate clothing for the weather as well
niltheoverkill,"When I first came here, I didn’t"
peachyqiss,yeah lots of tanks and shorts
peachyqiss,basically bathing suits for clothes lol
niltheoverkill,HAHAHA real
niltheoverkill,Hope you have a strong raincoat though
peachyqiss,LOL i do
niltheoverkill,Last thing you want is rain water getting down between your ass cheeks
niltheoverkill,Definitely never happened to me. I would never let that happen.
peachyqiss,HAHAHAHA
niltheoverkill,What are we talking about. Never heard of this concept before.
peachyqiss,oh also
peachyqiss,undefeated
peachyqiss,unrelated£
peachyqiss,
peachyqiss,but i thought id update you again
peachyqiss,bf and i are on a break again
peachyqiss,🙃
peachyqiss,and it’s our anniversary today
niltheoverkill,Can i
peachyqiss,🙃🙃🙃
niltheoverkill,Can i meet this guy
niltheoverkill,Just to talk
peachyqiss,LMAO no
niltheoverkill,No throwing of hands
niltheoverkill,Definitely not
niltheoverkill,I am definitely not a brown belt in karate
peachyqiss,LMFAOO
peachyqiss,not to brag but uh 😏 i was an orange belt 🙂‍↕️
peachyqiss,LMFAO
niltheoverkill,HAHAHAHAHHAA DAMNNN GURL
peachyqiss,IKKKK it’s so high right
niltheoverkill,Extremely
peachyqiss,(i did karate for a year then never did it again)
niltheoverkill,So close to brown in terms of color so it has to be right
peachyqiss,EXACTLY
peachyqiss,see you get it
niltheoverkill,That’s how it works yeah
niltheoverkill,Exactly
niltheoverkill,I feel u
peachyqiss,i never understood why it wasn’t in ROYGBIV order tho
peachyqiss,like i understand green blue purple brown black
peachyqiss,but why does it go white yellow orange
niltheoverkill,I don’t know that makes sense to me That’s how my colored pencils were ordered i guess
peachyqiss,WHAT really??
niltheoverkill,Yeah??
peachyqiss,oh weird
niltheoverkill,damn i litewally watched the pfp change
peachyqiss,HAHAHAHAHA
niltheoverkill,fancy seeing you here madam
peachyqiss,im an early bird today gorgeous
niltheoverkill,i noticed isnt it 9 am
peachyqiss,i couldnt stand the thought of not seeing you
peachyqiss,yeahh
peachyqiss,im in the engineering laboratories
niltheoverkill,are you in a
niltheoverkill,ok
niltheoverkill,yeah
niltheoverkill,that settles it
peachyqiss,we're doing static testing on out rocket today
peachyqiss,our*
peachyqiss,so im here
niltheoverkill,hmm little miss nasa
peachyqiss,i have two guys next to me drilling holes in part of it
niltheoverkill,well good luck
peachyqiss,im girlbossing over here
niltheoverkill,:blushed:
peachyqiss,thank you beautiful 👩‍❤️‍💋‍👩
peachyqiss,good luck to you too
niltheoverkill,keep on slaying
niltheoverkill,can u kick nisan out of the staff server
peachyqiss,yeah
peachyqiss,OMGGG
peachyqiss,YES OFC I’LL ACT SURPRISED
niltheoverkill,HAHAHAAHAHHAHAH
niltheoverkill,PLAY ALONG PLAY ALONG MARS THINKS IM KEEPING IT HUSH HUSH
niltheoverkill,I ONLY TOLD U THO
peachyqiss,OKOKOK
peachyqiss,ALSO
peachyqiss,WE NEED TO MAKE A TRAVEL LIST FOR JULY
niltheoverkill,yes WE DO
niltheoverkill,I'm still waiting on an application result and if yes I'm going to be missing for half of July
niltheoverkill,My exam schedule is undetermined but I shouuuld have two exams per week and no more
peachyqiss,okok
peachyqiss,would it be the first or second half of july
niltheoverkill,I'll defo make a list tho
peachyqiss,bc the jubilee of young adults is on july 28 and i want to go
niltheoverkill,exams would be first half of july
niltheoverkill,ohhhhhhhhhh gotcha
niltheoverkill,Honestly by that time I'll probably either be in Turkey or in that camp that I applied to (you should go with christians anyway)
peachyqiss,catholic and the rest of christianity of so different
peachyqiss,it’s like a whole different thing
peachyqiss,LMFAO
peachyqiss,i’m just going as a tourist
niltheoverkill,dude YEAH the orthodoxs' are sooooooo different it's almost as if it's a different religion
peachyqiss,it basically is
peachyqiss,SAD
niltheoverkill,same with different muslim sect(?)s
peachyqiss,i think the full week i have off will be that last week of july
niltheoverkill,ahh that sounds bangin
niltheoverkill,if i get rejected from the camp...
niltheoverkill,ALJSDAJDASKLDŞASKADS
peachyqiss,HAHAHAHAHA
peachyqiss,DONT DONT
peachyqiss,we can always hang on weekends
niltheoverkill,im super excited tho it's in poland and 9 days long for only 60 euros
niltheoverkill,can u believe that
peachyqiss,OOOOO
peachyqiss,wait that’s amazing
niltheoverkill,and it's about data science
niltheoverkill,"which, i wanna do a masters in"
peachyqiss,is that what you’re coming to the us for
peachyqiss,also have you heard back from grad schools?
niltheoverkill,hopefully
niltheoverkill,didnt apply this cycle
niltheoverkill,gonna apply on the next one
peachyqiss,ohhh okok
niltheoverkill,but with the state of us rn
niltheoverkill,😬
peachyqiss,yeahh…..
niltheoverkill,I've heard of universities telling students not to travel to their home countries because they might not be able to come back
niltheoverkill,This is why I am strongly thinking of going northern Europe instead of the US right now
peachyqiss,yeah my friend is going home to the philippines and he’s scared he’s not going to be able to come back
niltheoverkill,Like switzerland or maybe UK would work for me
niltheoverkill,YEAH
niltheoverkill,and IT'S NOT AN IRRATIONAL FEAR
niltheoverkill,They are detaining full blown citizens and legal residents
peachyqiss,i saw that
peachyqiss,and putting them in el salvador of all places ???
niltheoverkill,talk about a human rights violation...
peachyqiss,its so sad
peachyqiss,i wish politicians wouldn’t play games with people’s lives
niltheoverkill,the worst time to be apolitic
niltheoverkill,bc it even affects that stray cat on the street's life
niltheoverkill,ruthie?
niltheoverkill,pookie are you up
peachyqiss,THATS SO SICK
niltheoverkill,would you be able to scan the rules let me know what catches your eye
peachyqiss,yes i can rq!
peachyqiss,staff or main?
niltheoverkill,staff
niltheoverkill,skip core values
niltheoverkill,will save u time
peachyqiss,i like it a lot
peachyqiss,it covers everything
niltheoverkill,perfect
niltheoverkill,i thought you'd make it here atleast before the pope died but
niltheoverkill,we just got the news a couple minutes ago dude's dead af
peachyqiss,bro
peachyqiss,what
niltheoverkill,he ded
niltheoverkill,"My mom called me and said "" He died on Easter Monday so does this mean that their religion is the right one i'm so confused"" and the way i laughed"
peachyqiss,LMAO
peachyqiss,jesus
peachyqiss,yeah he died right after meeting with our vp
peachyqiss,coincidence? i think not
niltheoverkill,No but seriously he was probably the most progressive pope there was and he did the most in my humble opinion
peachyqiss,he did
niltheoverkill,YEEEES The whole world is talking about this
peachyqiss,i was really hoping to go to jubilee when he was alive
niltheoverkill,Yeah I was thinking either Mars or you would make it but unfortunately
niltheoverkill,But like this has been in the back of my head for a while and I was thinking this is going to happen in 2025 and it did happen
peachyqiss,yeahh i was praying it wouldnt but i had a feeling
niltheoverkill,this is a weird ahh year
niltheoverkill,bru you did not just hop on fortnite my guy
peachyqiss,DONT LOOK
niltheoverkill,HAHASJDHASJKDFEWKA
niltheoverkill,im literally watching code run and idk which is worse fortnite or watching code run
peachyqiss,LMFAO what code is it?
niltheoverkill,Every single scientific journal article conference paper published between 1959 and 2025 that is in the field of computer science
niltheoverkill,I'm running each year manually and each year is getting exponentially bigger in terms of file size so right now I'm running for 2014 and it has been more than 15 minutes
niltheoverkill,so yeah
niltheoverkill,good shit
peachyqiss,OH????
peachyqiss,why ?????
niltheoverkill,bc my ass thought attending a scientific paper competition and only having one month to write the paper was a good idea
peachyqiss,LMFAO
peachyqiss,that’s so real
peachyqiss,it’s okay
peachyqiss,you got this
niltheoverkill,hope so 🤞
niltheoverkill,i signed up so dont think theres a coming back from this
niltheoverkill,Ruthie
niltheoverkill,Could you fill out a form for one of my classes
peachyqiss,nil
peachyqiss,yeah
niltheoverkill,CiboCompass – Understanding Your Food Experience in Italy Help us design a better food discovery app for international students in Italy! This short survey takes about 5 minutes. Note: All responses are anonymous and confidential.
niltheoverkill,say that ur in italy for
niltheoverkill,0-3 months
niltheoverkill,the rest you can fill accurately
peachyqiss,okok
peachyqiss,isn’t it about
peachyqiss,italian food tho
niltheoverkill,we need 100 responses im sweating my ass rn
peachyqiss,LMAO okokok
niltheoverkill,yea it doesnt matter tho
niltheoverkill,"""Less than 1 month"""
niltheoverkill,that works
peachyqiss,LOLOL
peachyqiss,“i haven’t been”
peachyqiss,is that okay
peachyqiss,or should i lie
niltheoverkill,when was the last time you ate at olive garden
peachyqiss,like almost a year ago
niltheoverkill,oof
peachyqiss,i went to an italian hole in the wall in march
niltheoverkill,say a month ago or sum bru 😭
peachyqiss,okok
niltheoverkill,aight yea that works
peachyqiss,tadaaaaa
niltheoverkill,thank you
niltheoverkill,we're at like 40 responses
peachyqiss,oh shit
peachyqiss,laras just texted me
peachyqiss,this whole thing
niltheoverkill,uh oh
niltheoverkill,whats happening
peachyqiss,she’s having a panic attack i think
peachyqiss,there’s a lot
peachyqiss,don’t tell her
peachyqiss,i’m handling it
niltheoverkill,i would never
peachyqiss,but yeah that’s what’s going on
niltheoverkill,if u need help lmk
niltheoverkill,i might see reyna in may
peachyqiss,WHAT
niltheoverkill,mf applied for the same event im going to
peachyqiss,ewwww
peachyqiss,oh also
peachyqiss,are we still doing staff meeting today?
niltheoverkill,nobody is online
niltheoverkill,i mean we should but are we going to is the question
peachyqiss,AHHHHH
peachyqiss,i just @ed westerner
niltheoverkill,can you and i talk and discuss who we should have for eastern staff
niltheoverkill,i have a couple things to tell u
peachyqiss,yes
niltheoverkill,Are u free now
peachyqiss,yeah i’m free
peachyqiss,i’m putting on clothes
niltheoverkill,oh
niltheoverkill,oh
niltheoverkill,Started a call that lasted 41 minutes.
peachyqiss,HAHAHAHAHHA
peachyqiss,maam
peachyqiss,hypothetically
peachyqiss,if you were to actually have that youtube family spot
peachyqiss,.......
peachyqiss,hypothetically ofc
niltheoverkill,my dad is the manager
niltheoverkill,i asked him
peachyqiss,HUZZAH
niltheoverkill,i would just need ur gmail
peachyqiss,YAYYYY
peachyqiss,okok
peachyqiss,ruthie.barnett13@gmail.com
peachyqiss,i couldnt do it
peachyqiss,i called my friend to yap while i worked
peachyqiss,LMFAO
peachyqiss,it helps idlk
peachyqiss,i have too much energy
niltheoverkill,well yeah u had chocolate covered animal crackers at like 10 am
niltheoverkill,are you surprised
peachyqiss,true
peachyqiss,i'll be back soon
peachyqiss,i just need to yap
peachyqiss,i'm making more progress on my paper than earlier tho
peachyqiss,1/8 done
niltheoverkill,hey ruthie
niltheoverkill,quick question
niltheoverkill,would u happen to have keep talking and nobody explodes on steam
peachyqiss,i can get it
niltheoverkill,no no i was just asking
niltheoverkill,ty tho
niltheoverkill,<3
niltheoverkill,good to know i got a sugar mama
niltheoverkill,Hey
niltheoverkill,Are you up
niltheoverkill,I have a surprise for you
peachyqiss,yes
niltheoverkill,Facetime?
peachyqiss,in class
peachyqiss,give me 20?
niltheoverkill,Sure
niltheoverkill,Mars is here thats why
peachyqiss,OH
peachyqiss,OH
peachyqiss,OH
peachyqiss,WHAT
niltheoverkill,Also idk if u talked to jazz at all but she is going thru sth insane rn so we can hire another western staff
niltheoverkill,And shoot a message wishing her well if u want
peachyqiss,me when i forgot you wanteed to ft
niltheoverkill,yo
niltheoverkill,check ticket 1738
niltheoverkill,ARE YOU PLAYING SONIC ASJDHJHASD
peachyqiss,YES
niltheoverkill,wdym 2 hours ago mf you are supposed to be fast asleep rn peachyqiss Minecraft
peachyqiss,….whoops
peachyqiss,i just woke up
peachyqiss,kms
niltheoverkill,Gm sunshine 🌞
peachyqiss,GOOD MORNINGGGG
niltheoverkill,no u did not watch the movie bro
niltheoverkill,💀
niltheoverkill,😭
peachyqiss,HHAHAHAHAHHAA
peachyqiss,i've seen it like 3 times im ngl
niltheoverkill,ruthie
niltheoverkill,this is gonna sound very weird and malicious but
niltheoverkill,can you transfer the server ownership to me
niltheoverkill,i wanna test sth
niltheoverkill,and then i'll give it back ofc
peachyqiss,oh????
peachyqiss,yeah that’s fine
niltheoverkill,alright perf
peachyqiss,me when i forgot
peachyqiss,are you free now
niltheoverkill,hosting reset
niltheoverkill,whats up
niltheoverkill,oh are you asking bc u need me to transfer
peachyqiss,yes
peachyqiss,i’ll transfer rq
peachyqiss,okay
peachyqiss,you’re good
peachyqiss,what are you testing?
niltheoverkill,oh sweet i didnt have to do shit
niltheoverkill,just the way i like it
peachyqiss,LMFAO
niltheoverkill,bot stuff
peachyqiss,thank you gorgeous
niltheoverkill,im not doing it like right now right now tho
peachyqiss,all good! just lmk when you’re done so you can transfer back
niltheoverkill,mf does NOT trust me
niltheoverkill,fair
niltheoverkill,i wouldnt trust me too
niltheoverkill,🤪
peachyqiss,LMFAO I DO TF??
peachyqiss,if i didn’t i wouldn’t have given it to you
niltheoverkill,yo
niltheoverkill,you on mc?
peachyqiss,ya
niltheoverkill,well so am i mf
niltheoverkill,what are you playing
peachyqiss,oh??
peachyqiss,im on a realm rn
niltheoverkill,ah damn
niltheoverkill,ok
niltheoverkill,im assuming it's a friend of yours so
peachyqiss,you wanna play?
niltheoverkill,i mean
peachyqiss,yeah
niltheoverkill,yeah ofc
peachyqiss,okok
peachyqiss,i can make a new world
peachyqiss,hypixel?
niltheoverkill,nah ur good play with ur friends
peachyqiss,theres no one on dw
peachyqiss,i lost my house
peachyqiss,i just found it
peachyqiss,i spent 3 irl days looking for it
niltheoverkill,LMAOOOOOOOOOOOOOOOOOOOOOO
niltheoverkill,save ur coords WOMAN
niltheoverkill,or just get lunar client
niltheoverkill,🤓
peachyqiss,im on modrinth
peachyqiss,i used to play on lunar
niltheoverkill,y modrinth
niltheoverkill,are you on custom modpacks
peachyqiss,yeah and i play modded a lot
niltheoverkill,ah ok that makes sense
